Address,Name,Formatted Address,Types,Match Score
109 N Wabena Ave,Three Rivers Public Library District- Minooka Branch,"109 north wabena avenue, minooka","library, point_of_interest, establishment",0.69
10909 S Cottage Grove Ave,The Hope Center Foundation,"10909 south cottage grove avenue, chicago","point_of_interest, establishment",0.76
11 E Adams St,Center For Conflict Resolution,"11 east adams street, chicago","point_of_interest, establishment",0.67
1100 S Hamilton Ave,Dr. Allison Mason,"1100 south hamilton avenue, chicago","health, point_of_interest, establishment",0.72
1100 W Madison St,Poke Poké,"1100 west madison street, chicago","restaurant, point_of_interest, food, establishment",0.7
11000 S Ewing Ave,East Side United Methodist Church,"11000 south ewing avenue, chicago","church, place_of_worship, point_of_interest, establishment",0.7
11001 S Indiana Ave,"Pullman Branch, Chicago Public Library","11001 south indiana avenue, chicago","library, point_of_interest, establishment",0.72
11001 S Michigan Ave,OmniSuite LLC,"11001 south michigan avenue, chicago","point_of_interest, establishment",0.72
11006 S Michigan Ave,TTTF Entertainment INC,"11006 south michigan avenue, chicago","point_of_interest, store, establishment",0.72
1101 W Granville Ave,Gino's North,"1111 west granville avenue, chicago","restaurant, food, point_of_interest, establishment",0.71
1101 W Taylor St,,,,
11010 S Kedzie Ave,"Mount Greenwood Branch, Chicago Public Library","11010 south kedzie avenue, chicago","library, point_of_interest, establishment",0.71
11026 S Indiana Ave,Kingdom Coalition International Fellowship,"11026 south indiana avenue, chicago","church, place_of_worship, point_of_interest, establishment",0.72
1104 S Wabash Ave,Columbia College,"1104 south wabash avenue, chicago","university, school, point_of_interest, establishment",0.7
1104 W 31st St,,,,
11071 S Hoyne Ave,"Walker Branch, Chicago Public Library","11071 south hoyne avenue, chicago","library, point_of_interest, establishment",0.7
111 E Wacker Dr,Kovitz Arnold Kathryn,"111 east wacker drive, chicago","lawyer, point_of_interest, establishment",0.7
111 S Michigan Ave,The Art Institute of Chicago,"111 south michigan avenue, chicago","museum, tourist_attraction, point_of_interest, establishment",0.71
1110 N California Ave,Dr. Jane Maralimo,"1110 north california avenue, chicago","doctor, health, point_of_interest, establishment",0.73
11101 S Cottage Grove Ave,Pullman (George) Park,"11101 south cottage grove avenue, chicago","park, point_of_interest, establishment",0.76
1111 E 87th St,Chicago Greenwood - Internal Medicine,"1111 east 87th street, chicago","doctor, health, point_of_interest, establishment",0.68
11113 S Cottage Grove Ave,Pullman (George) Park,"11101 south cottage grove avenue, chicago","park, point_of_interest, establishment",0.73
11137 S Langley Ave,Block House Gallery,"11137 south langley avenue, chicago","art_gallery, point_of_interest, establishment",0.72
11144 S St Lawrence Ave,Arcade Park,"11132 south saint lawrence avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.67
11158 S Michigan Ave,THE CHICAGOAN....All I NEED IS GOD,"11158 south michigan avenue, chicago","point_of_interest, establishment",0.72
1116 E 46th St,Bidmead & Younger Construction,"1114 east 46th street, indianapolis","general_contractor, point_of_interest, establishment",0.69
1116 N Kedzie Ave,Association House of Chicago,"1116 north kedzie avenue, chicago","secondary_school, school, health, point_of_interest, establishment",0.7
1119 E 46th St,"Broad Ripple Haverford Little League, Diamond 5","1209 east 46th street, indianapolis","point_of_interest, establishment",0.67
1119 N Cleveland Ave,The Ogden International School of Chicago - Jenner Campus,"1119 north cleveland avenue, chicago","primary_school, point_of_interest, school, establishment",0.72
1119 W Cullerton St,ElevArte Community Studio,"1119 west cullerton street, chicago","point_of_interest, establishment",0.72
1120 W 122nd St,,,,
1120 W 69th St,J&I buildex inc,"1111 west 69th street, los angeles","general_contractor, point_of_interest, establishment",0.66
11201 S Avenue L,,,,
1122 N Milwaukee Ave,Added Chance,"1122 north milwaukee avenue, chicago","point_of_interest, establishment",0.72
1122 W 34th Pl,,,,
11220 S Wallace St,Christian Fenger Academy High School,"11220 south wallace street, chicago","secondary_school, school, point_of_interest, establishment",0.7
11221 S Homewood Ave,Morgan Park Electrical,"11239 south homewood avenue, chicago","electrician, point_of_interest, establishment",0.68
