Address,Name,Formatted Address,Types,Match Score
3631 N Keeler Ave,Keeler Gardens,"3631 north keeler avenue, chicago","park, point_of_interest, establishment",0.7
3633 N California Ave,TC Scholars Preschool,"3633 north california avenue, chicago","point_of_interest, school, establishment",0.73
3635 N Clark St,Gallagher Way,"3635 north clark street, chicago","park, point_of_interest, establishment",0.68
3636 S Iron St,ShowcaseGCS,"3636 south iron street, chicago","point_of_interest, establishment",0.67
3643 W Belmont Ave,June J. Htun,"3643 west belmont avenue, chicago","lawyer, point_of_interest, establishment",0.72
3647 S State St,"Chicago Bee Branch, Chicago Public Library","3647 south state street, chicago","library, point_of_interest, establishment",0.68
3650 W School St,Frank W Reilly School,"3650 west school street, chicago","primary_school, school, point_of_interest, establishment",0.69
3651 W Schubert Ave,Monroe Elementary School,"3651 west schubert avenue, chicago","primary_school, school, point_of_interest, establishment",0.73
3656 N Halsted St,"Jack F. Shauger, LCSW","3656 north halsted street, chicago","point_of_interest, establishment",0.69
3659 W Armitage Ave,Weegee's Lounge,"3659 west armitage avenue, chicago","night_club, bar, point_of_interest, establishment",0.73
3660 W 23rd St,,,,
3663 S Wabash Ave,Perspectives/IIT Math & Science Academy,"3663 south wabash avenue, chicago","secondary_school, school, point_of_interest, establishment",0.7
37 E 37th St,,,,
37 E Lorraine Ave,Stardust Bowl,"37 east lorraine avenue, addison","bowling_alley, point_of_interest, establishment",0.71
3700 N Western Ave,Waveland Bowl,"3700 north western avenue, chicago","bowling_alley, point_of_interest, establishment",0.71
3700 S State St,,,,
3701 N Ravenswood Ave,T60 Productions,"3701 north ravenswood avenue, chicago","point_of_interest, establishment",0.73
3701 W Ogden Ave,Carole Robertson Center for Learning,"3701 west ogden avenue, chicago","point_of_interest, establishment",0.7
3709 W Grand Ave,River City Community Church,"3709 west grand avenue, chicago","church, place_of_worship, point_of_interest, establishment",0.7
3710 E 106th St,"Vodak-East Side Branch, Chicago Public Library","3710 east 106th street, chicago","library, point_of_interest, establishment",0.69
3711 S Ashland Ave,Trejo's Iron Works,"3701 south ashland avenue, chicago","point_of_interest, establishment",0.68
3711 S Halsted St,Baltazar Law Office,"3701 south halsted street, chicago","lawyer, point_of_interest, establishment",0.67
3711 S Vincennes Ave,"AR Designs, Inc.","3711 south vincennes avenue, chicago","point_of_interest, establishment",0.72
3711 W Chicago Ave,PrintWithMe Print Kiosk at Blocks Together,"3711 west chicago avenue, chicago","point_of_interest, store, establishment",0.72
3711 W Douglas Blvd,Theodore Herzl Elementary School,"3711 west douglas boulevard, chicago","primary_school, school, point_of_interest, establishment",0.71
3718 S Prairie Ave,Anderson (Louis) Park,"3748 south prairie avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.68
3720 N Lincoln Ave,PrintWithMe Print Kiosk at Lincoln Cafe and Market,"3720 north lincoln avenue, chicago","store, point_of_interest, establishment",0.71
3721 W 111th St,Mount Greenwood Park Pool (Outdoor),"3721 west 111th street, chicago","point_of_interest, establishment",0.69
3729 W Leland Ave,North River Elementary School,"3729 west leland avenue, chicago","primary_school, point_of_interest, school, establishment",0.71
3730 W Bryn Mawr Ave,Friends of Northside Learning Center,"3730 west bryn mawr avenue, chicago","point_of_interest, establishment",0.73
