Address,Name,Formatted Address,Types,Match Score
3737 N Mozart St,Edward. J. Abel Building,"3737 north mozart street, chicago","point_of_interest, establishment",0.68
3737 S Paulina St,Namaste Charter School,"3737 south paulina street, chicago","school, point_of_interest, establishment",0.69
3740 W 31st St,,,,
3745 S Indiana Ave,Ignite - Belfort House,"3745 south indiana avenue, chicago","point_of_interest, establishment",0.71
3745 W Cortland St,Bearse USA,"3815 west cortland street, chicago","store, point_of_interest, establishment",0.66
3748 S Prairie Ave,Anderson (Louis) Park,"3748 south prairie avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.71
375 W Elm St,Seward (William) Park,"375 west elm street, chicago","park, tourist_attraction, point_of_interest, establishment",0.66
3751 W 63rd St,Palermo's of 63rd Pizza and Restaurant,"3751 west 63rd street, chicago","restaurant, food, point_of_interest, establishment",0.68
3755 S Cottage Grove Ave,Dr. Daniel P Vicencio,"3755 south cottage grove avenue, chicago","doctor, health, point_of_interest, establishment",0.75
3757 S Wells St,,,,
3757 S Wentworth Ave,Wentworth-Gardens Management,"3770 south wentworth avenue, chicago","point_of_interest, local_government_office, establishment",0.7
3759 S Wells St,,,,
3770 S Wentworth Ave,Wentworth Gardens (John) Park,"3770 south wentworth avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.72
38 S Peoria St,Lake Shore Church,"joy faith knapp music center, 38 south peoria street, chicago","church, place_of_worship, point_of_interest, establishment",0.82
3801 W 45th St,MR.Khan's Best HALAL FOOD,"west 45th street, new york","restaurant, food, point_of_interest, establishment",0.63
3810 W Chicago Ave,Instant Tax Service,"3806 west chicago avenue, chicago","finance, point_of_interest, establishment",0.69
3815 N Kedvale Ave,Disney II Magnet Elementary School,"3815 north kedvale avenue, chicago","primary_school, school, point_of_interest, establishment",0.71
3825 S Vincennes Ave,Toastmasters,"3725 south vincennes avenue, chicago","point_of_interest, establishment",0.7
3825 S Washtenaw Ave,Brighton Park Elementary School,"3825 south washtenaw avenue, chicago","primary_school, point_of_interest, school, establishment",0.72
3826 W 58th St,,,,
3830 S Archer Ave,Richard Carrasco American Family Insurance,"3836 south archer avenue, chicago","insurance_agency, point_of_interest, establishment",0.68
3831 S Michigan Ave,South Side Community Art Center,"3831 south michigan avenue, chicago","museum, art_gallery, point_of_interest, establishment",0.72
3843 N California Ave,S M G Soldier Field,"3843 north california avenue, chicago","point_of_interest, establishment",0.73
3847 S Giles Ave,Brownville Club House,"3847 south giles avenue, chicago","restaurant, food, point_of_interest, establishment",0.69
3849 W 69th Pl,School,"3849 west 69th place, chicago","primary_school, school, point_of_interest, establishment",0.69
3855 N Seeley Ave,Concordia Place,"3855 north seeley avenue, chicago","school, point_of_interest, establishment",0.7
3857 W 111th St,Chicago High School for Agricultural Sciences,"3857 west 111th street, chicago","secondary_school, school, point_of_interest, establishment",0.69
3858 S Cottage Grove Ave,Mandrake Park,"3858 south cottage grove avenue, chicago","park, point_of_interest, establishment",0.75
39 W 47th St,Albert & Son's Jewelry,"37 west 47th street, new york","jewelry_store, point_of_interest, store, establishment",0.64
3900 N Lawndale Ave,Disney II Magnet School,"3900 north lawndale avenue, chicago","secondary_school, school, point_of_interest, establishment",0.72
3900 S King Dr,,,,
3901 S State St,Learning Resource Center,"3901 south state street, chicago","library, point_of_interest, establishment",0.68
3906 S Lake Park Ave,Bronzeville Dog Park #591,"3906 south lake park avenue, chicago","park, point_of_interest, establishment",0.72
3907 N Damen Ave,Commission Express in Chicago,"3907 north damen avenue, chicago","store, point_of_interest, establishment",0.69
3917 W Division St,Harding (Frederick) Playground Park,"harding park, 3917 west division street, chicago","park, point_of_interest, establishment",0.79
3932 S California Ave,Party Per Purpose,"3932 south california avenue, chicago","point_of_interest, establishment",0.73
3934 S Wabash Ave,,,,
3937 W Wilcox St,Delano Elementary School,"3937 west wilcox street, chicago","primary_school, school, point_of_interest, establishment",0.69
3939 W 79th St,Bogan High School,"3939 west 79th street, chicago","secondary_school, school, point_of_interest, establishment",0.68
3945 N Springfield Ave,Fitness Center,"3945 north springfield avenue, chicago","point_of_interest, health, establishment",0.74
3947 S Michigan Ave,Elliot Donelley Youth Center,"3947 south michigan avenue, chicago","point_of_interest, establishment",0.72
3948 W 26th St,Central States SER,"3948 west 26th street, chicago","point_of_interest, establishment",0.68
3983 S Lake Park Ave,Lake Parc Place,"3983 south lake park avenue, chicago","point_of_interest, establishment",0.72
3986 W Barry Ave,ASPIRA Early College High School,"3986 west barry avenue, chicago","secondary_school, school, university, point_of_interest, establishment",0.7
3rd St,,,,
40 E 40th St,Cornerstone Acupuncture - Ning Ma,"30 east 40th street, new york","point_of_interest, health, store, establishment",0.64
400 E Monroe St,Coast Guard Auxiliary Chicago,"400 east monroe street, chicago","point_of_interest, establishment",0.69
400 S State St,,,,
400 W 76th St,Heartland Alliance,"400 west 76th street, chicago","point_of_interest, establishment",0.67
4008 W Madison St,Garfield Park Community Plaza,"4008 west madison street, chicago","park, point_of_interest, establishment",0.7
401 N Armour St,Ignite Glass Studios,"401 north armour street, chicago","art_gallery, point_of_interest, establishment",0.68
401 N Michigan Ave,Radio Disney 1300AM.,"401 michigan avenue, chicago","point_of_interest, establishment",0.71
401 S State St,Mónica Sarmiento Castillo,"401 south state street, chicago","point_of_interest, establishment",0.67
401 W 123rd St,,,,
401 W 69th St,,,,
4015 N Ashland Ave,Dr. Caroline Hoke,"4015 north ashland avenue, chicago","doctor, point_of_interest, health, establishment",0.71
4015 W Carroll Ave,Federal Uniform LLC,"4015 west carroll avenue, chicago","clothing_store, point_of_interest, store, establishment",0.72
402 N Saint Louis Ave,Breakthrough Urban Ministries,"402 north saint louis avenue, chicago","point_of_interest, establishment",0.68
4020 W 63rd St,"West Lawn Branch, Chicago Public Library","4020 west 63rd street, chicago","library, point_of_interest, establishment",0.68
4020 W Division St,It Takes A Village Early Learning Center,"4020 west division street, chicago","point_of_interest, establishment",0.71
4024 N Cicero Ave,Walgreens,"4040 north cicero avenue, chicago","drugstore, convenience_store, clothing_store, food, health, store, point_of_interest, establishment",0.68
4024 N Elston Ave,"Independence Branch, Chicago Public Library","4024 north elston avenue, chicago","library, point_of_interest, establishment",0.7
4025 S Western Blvd,Peco Sews,"4025 south western boulevard, chicago","store, point_of_interest, establishment",0.7
4034 S State St,Hansberry Square of Legends South,"4034 south state street, chicago","real_estate_agency, point_of_interest, establishment",0.68
4034 W 56th St,Sor Juana Elementary School,"4034 west 56th street, chicago","primary_school, point_of_interest, school, establishment",0.68
4041 N Milwaukee Ave,The Gift Theatre,"4041 north milwaukee avenue, chicago","point_of_interest, establishment",0.72
4041 W Roosevelt Rd,Sankofa House,"4041 west roosevelt road, chicago","real_estate_agency, health, point_of_interest, establishment",0.74
4044 N Lincoln Ave,The UPS Store,"4044 north lincoln avenue, chicago","finance, store, point_of_interest, establishment",0.71
4046 N Leavitt St,Steve & Kate's Camp - Chicago North Center,"4046 north leavitt street, chicago","point_of_interest, establishment",0.69
4046 W Armitage Ave,Segundo Ruiz Belvis Cultural,"4046 west armitage avenue, chicago","point_of_interest, establishment",0.73
405 E 35th St,NYC Parking Nyulmc G Garage Corp.,"400 east 35th street, new york","parking, point_of_interest, establishment",0.65
405 W Superior St,AKPD Message & Media,"405 west superior street, chicago","point_of_interest, establishment",0.7
406 Linden Ave,Agape food pantry,"linden avenue, dayton","point_of_interest, establishment",0.62
406 W Winneconna Pkwy,Lagoon,"406 west winneconna parkway, chicago","point_of_interest, establishment",0.74
4085 S Archer Ave,ParkChicago #281615,"4085 south archer avenue, chicago","point_of_interest, establishment",0.7
410 S Michigan Ave,Jazz Institute of Chicago,"410 michigan avenue, chicago","point_of_interest, establishment",0.71
410 W Chicago Ave,,,,
4100 N Damen Ave,Northcenter Town Square,"4100 north damen avenue, chicago","point_of_interest, establishment",0.69
4100 N Long Ave,Portage Park,"4100 north long avenue, chicago","park, point_of_interest, establishment",0.69
4100 S Lake Shore Dr,,,,
4100 W Irving Park Rd,Gotta B Crepes Portage Park Farmers Market,"4100 irving park road, chicago","point_of_interest, establishment",0.75
4101 W 76th St,Manufacturing Technology and Engineering Center (MTEC),"4101 west 76th street, chicago","university, point_of_interest, establishment",0.68
4101 W 79th St,"Scottsdale Branch, Chicago Public Library","4101 west 79th street, chicago","library, point_of_interest, establishment",0.68
4108 S King Dr,Urban Broadcast Media,"4108 south king drive, chicago","point_of_interest, establishment",0.68
4111 W Armitage Ave,"En Las Tablas Performing Arts, NFP","4111 west armitage avenue, chicago","point_of_interest, establishment",0.73
4117 W North Ave,Pic'z Digital Photo,"4117 west north avenue, chicago","point_of_interest, establishment",0.7
412 W Chicago Ave,Chicago Tutoring Connection,"410 west chicago avenue, chicago","point_of_interest, establishment",0.68
4127 W Hirsch St,Alfred Nobel Elementary School,"4127 west hirsch street, chicago","primary_school, school, point_of_interest, establishment",0.69
4131 S State St,Omni Ecosystems,"4131 south state street, chicago","general_contractor, point_of_interest, establishment",0.68
4133 W Madison St,Habilitative Systems Inc,"4133 west madison street, chicago","health, point_of_interest, establishment",0.7
4134 W Hirsch St,Kedvale Park,"4134 west hirsch street, chicago","park, tourist_attraction, point_of_interest, establishment",0.69
4136 S California Ave,Thomas Kelly College Preparatory High School,"4136 south california avenue, chicago","secondary_school, school, point_of_interest, establishment",0.73
4140 W Hirsch St,Kedvale Park,"4134 west hirsch street, chicago","park, tourist_attraction, point_of_interest, establishment",0.67
4145 W Armitage Ave,The Place for Children with Autism - Hermosa,"4145 west armitage avenue, chicago","health, point_of_interest, establishment",0.73
415 E 79th St,,,,
415 N Laramie Ave,By The Hand Club For Kids,"415 north laramie avenue, chicago","point_of_interest, establishment",0.7
4150 S King Dr,Centers For New Horizons Inc,"4150 south king drive, chicago","point_of_interest, establishment",0.68
4155 S Rockwell St,New Life Community Church Brighton Park,"4155 south rockwell street, chicago","church, place_of_worship, point_of_interest, establishment",0.7
416 N Laramie Ave,Moving Everest Charter School,"416 north laramie avenue, chicago","school, point_of_interest, establishment",0.7
4196 S State St,Metcalfe (Ralph) Park,"4134 south state street, chicago","park, point_of_interest, establishment",0.62
42 W Madison St,Chicago Public Schools,"42 west madison street, chicago","point_of_interest, establishment",0.69
420 W 111th St,,,,
4200 N Oak Park Ave,Chicago-Read Mental Health Center,"4200 north oak park avenue, chicago","health, point_of_interest, establishment",0.72
4217 W 18th St,Shell,"4401 west 18th street, houston","gas_station, atm, finance, convenience_store, restaurant, food, point_of_interest, store, establishment",0.62
4220 N Richmond St,Newton Bateman Elementary School,"4220 north richmond street, chicago","primary_school, school, point_of_interest, establishment",0.7
4222 S Archer Ave,El Campestre,"4226 south archer avenue, chicago","meal_delivery, restaurant, point_of_interest, food, establishment",0.68
4222 W Foster Ave,Gompers Park Pool (Outdoor),"4222 west foster avenue, chicago","point_of_interest, establishment",0.71
4225 S Lake Park Ave,Jackie Robinson Elementary School,"4225 south lake park avenue, chicago","primary_school, school, point_of_interest, establishment",0.72
423 N Laramie Ave,Flowers for dreams market,"423 north laramie avenue, chicago","point_of_interest, establishment",0.7
4231 S Talman Ave,Alcohólicos anonimos,"4309 south talman avenue, chicago","point_of_interest, establishment",0.65
4233 W 65th St,Chicago Karate Academy,"4233 west 65th street, chicago","health, point_of_interest, establishment",0.68
4246 N Hermitage Ave,Zatterberg (Helen) Park,"4246 north hermitage avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.72
4247 W 15th St,Charles Hughes Elementary School,"4247 west 15th street, chicago","primary_school, secondary_school, school, point_of_interest, establishment",0.68
4247 W 31st St,,,,
425 E McFetridge Dr,ATM,"425 east mcfetridge drive, chicago","atm, finance, point_of_interest, establishment",0.73
4250 N Saint Louis Ave,Patrick Henry Elementary School,"4250 north saint louis avenue, chicago","primary_school, point_of_interest, school, establishment",0.69
4255 N Knox Ave,Fort Knox Studios,"4255 north knox avenue, chicago","point_of_interest, establishment",0.69
430 E 162nd St,NevaeHair,"430 east 162nd street, south holland","store, point_of_interest, establishment",0.72
4300 N California Ave,Alliance of Filipinos for Immigrant Rights and Empowerment,"4300 north california avenue, chicago","point_of_interest, establishment",0.73
4300 W North Ave,Square 1 Precision Lighting,"4300 west north avenue, stone park","home_goods_store, store, point_of_interest, establishment",0.73
4301 S King Dr,,,,
431 N Troy St,Morton School of Excellence,"431 north troy street, chicago","primary_school, school, point_of_interest, establishment",0.66
4314 S Archer Ave,"Brighton Park Branch, Chicago Public Library","4314 south archer avenue, chicago","library, point_of_interest, establishment",0.7
4314 S Cottage Grove Ave,Dr. Martin Luther King Center Service Center,"4314 south cottage grove avenue, chicago","point_of_interest, establishment",0.75
4320 W 15th St,Gymnasium,"4320 west 15th street, chicago","point_of_interest, establishment",0.68
4320 W 5th Ave,,,,
4332 N Paulina St,Ravenswood Elementary School,"4332 north paulina street, chicago","primary_school, school, point_of_interest, establishment",0.69
4334 S Pulaski Rd,La Michoacana,"4336 south pulaski road, chicago","store, food, point_of_interest, establishment",0.68
4338 W Wabansia Ave,North-Grand High School,"4338 west wabansia avenue, chicago","secondary_school, school, point_of_interest, establishment",0.73
434-440 East 71st Street,LAZ Parking,"426-438 east 71st street, new york","parking, point_of_interest, establishment",0.61
4343 W Wrightwood Ave,Kelvyn Park High School,"4343 west wrightwood avenue, chicago","secondary_school, point_of_interest, school, establishment",0.74
4345 S Calumet Ave,,,,
4347 S Calumet Ave,Hadiya Pendelton Park,"4345 south calumet avenue, chicago","park, point_of_interest, establishment",0.68
4347 W 54th St,Strohacker (Howard) Park,"4347 west 54th street, chicago","park, tourist_attraction, point_of_interest, establishment",0.68
4349 W Washington Blvd,Bethel Pace Center Apartments,"4349 west washington boulevard, chicago","real_estate_agency, point_of_interest, establishment",0.73
4350 W 79th St,Tennis Court,"4350 west 79th street, chicago","point_of_interest, establishment",0.68
4355 N Linder Ave,Vaughn Occupational High School,"4355 north linder avenue, chicago","secondary_school, school, point_of_interest, establishment",0.7
438 W 120th St,Poinciana,"434 west 120th street, new york","point_of_interest, establishment",0.66
439 W 103rd St,New Macedonia Baptist Church,"432 west 103rd street, chicago","church, place_of_worship, point_of_interest, establishment",0.65
44 W 15th St,Complete Tile Collection,"42 west 15th street, new york","home_goods_store, point_of_interest, store, establishment",0.64
440 Dodge Ave,District 65 Kindergarten Child,"440 dodge avenue, evanston","point_of_interest, establishment",0.72
4400 N Lake Shore Dr,,,,
4400 W Lawrence Ave,"Mayfair Branch, Chicago Public Library","4400 west lawrence avenue, chicago","library, point_of_interest, establishment",0.73
4408 W Madison St,Chicago Born Losers Motorcycle,"4420 west madison street, chicago","point_of_interest, establishment",0.68
4409 W Wilcox St,Helen M. Hefferan Public School,"4409 west wilcox street, chicago","primary_school, school, point_of_interest, establishment",0.69
4411 W Chicago Ave,Chicago Joint Public Safety Training Campus,"4433 west chicago avenue, chicago","point_of_interest, establishment",0.67
4414 S Evans Ave,Carter G. Woodson School,"4414 south evans avenue, chicago","primary_school, point_of_interest, school, establishment",0.69
4420 S Sacramento Ave,Gunsaulus Scholastic Academy,"4420 south sacramento avenue, chicago","primary_school, school, point_of_interest, establishment",0.73
4424 S Cottage Grove Ave,4400 Grove Apartments,"4424 south cottage grove avenue, chicago","real_estate_agency, point_of_interest, establishment",0.75
4429 N Clifton Ave,Woodlawn Community Dev Corporation,"4429 north clifton avenue, chicago","point_of_interest, establishment",0.71
4430 S Marshfield Ave,Davis (Dr. Nathan) Square Park,"4430 south marshfield avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.73
4431 W Augusta Blvd,Augusta Park,"4433 west augusta boulevard, chicago","park, tourist_attraction, point_of_interest, establishment",0.68
4432 N Kedzie Ave,Anchor Baby Vintage and upcycled & Urban Markets Collective,"4432 north kedzie avenue, chicago","clothing_store, store, point_of_interest, establishment",0.7
4433 S St Lawrence Ave,Armstrong (Lillian Hardin) Park,"4433 south saint lawrence avenue, chicago","park, point_of_interest, establishment",0.71
4433 W Augusta Blvd,Augusta Park,"4433 west augusta boulevard, chicago","park, tourist_attraction, point_of_interest, establishment",0.71
4433 W Chicago Ave,Chicago Joint Public Safety Training Campus,"4433 west chicago avenue, chicago","point_of_interest, establishment",0.72
4434 S Lake Park Ave,Technique Gems,"4434 south lake park avenue, chicago","point_of_interest, establishment",0.72
4436 S Union Ave,Alexander Graham Elementary School,"4436 south union avenue, chicago","primary_school, school, point_of_interest, establishment",0.69
4437 N Magnolia Ave,Broncho Billy Playlot Park (12 & Under),"4437 north magnolia avenue, chicago","park, point_of_interest, establishment",0.72
4438 W Wrightwood Ave,Kelvyn (William) Park,"4438 west wrightwood avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.74
444 W Chicago Ave,Chicago Lights Urban Farm,"444 west chicago avenue, chicago","park, point_of_interest, establishment",0.71
4444 S Evans Ave,Carter G Woodson Middle School,"4444 south evans avenue, chicago","point_of_interest, school, establishment",0.69
4445 S Drexel Blvd,Dr. Martin Luther King Jr. College Preparatory High School,"4445 south drexel boulevard, chicago","secondary_school, point_of_interest, school, establishment",0.69
4445 S King Dr,The Black Women's Expo,"4445 south king drive, chicago","point_of_interest, establishment",0.68
4448 S State St,Legends South,"4448 south state street, chicago","point_of_interest, establishment",0.68
445 N Sacramento Blvd,Chicago Center For Green Technology,"445 north sacramento boulevard, chicago","local_government_office, point_of_interest, establishment",0.71
4452 S Archer Ave,we provide premium level asphalt paving,"4452 south archer avenue, chicago","point_of_interest, establishment",0.7
4455 N Lincoln Ave,"Sulzer Regional Library, Chicago Public Library","4455 north lincoln avenue, chicago","library, point_of_interest, establishment",0.71
4459 S Marshfield Ave,EVmatch Charging Station,"4459 south marshfield avenue, chicago","point_of_interest, establishment",0.73
4477 S Archer Ave,Brighton Park Neighborhood Council,"4477 south archer avenue, chicago","point_of_interest, establishment",0.7
450 E Benton Pl,Lakeshore East Park,"450 east benton place, chicago","park, tourist_attraction, point_of_interest, establishment",0.7
4500 N Virginia Ave,Sunken Gardens Park,"4500 north virginia avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.72
4501 N Clarendon Ave,Kuumba Lynx,"4501 north clarendon avenue, chicago","point_of_interest, establishment",0.72
4506 W Lawrence Ave,Clark Street Sports,"4506 west lawrence avenue, chicago","point_of_interest, clothing_store, store, establishment",0.73
4510 S Michigan Ave,Chicago Urban League,"4510 south michigan avenue, chicago","point_of_interest, establishment",0.72
4511 S Evans Ave,Carter G Woodson Child Parent,"4511 south evans avenue, chicago","point_of_interest, school, establishment",0.69
4519 N Lincoln Ave,Lincoln Square Farmers Market,"4513 north lincoln avenue, chicago","point_of_interest, establishment",0.68
452 East 61st Street,a,"420e east 61st street, new york","parking, point_of_interest, establishment",0.64
4521 S Ashland Ave,Immaculate Heart of Mary Catholic Church,"4517 south ashland avenue, chicago","church, place_of_worship, point_of_interest, establishment",0.68
4533 W Carmen Ave,North Mayfair Playlot Park,"4533 west carmen avenue, chicago","park, point_of_interest, establishment",0.71
4540 W Washington Blvd,Fathers Who Care,"4540 west washington boulevard, chicago","point_of_interest, establishment",0.73
4541 S Wood St,Dugan Alternative School,"4541 south wood street, chicago","secondary_school, school, point_of_interest, establishment",0.67
4542 S Greenwood Ave,Gwendolyn Brooks Park,"4542 south greenwood avenue, chicago","park, point_of_interest, establishment",0.72
4543 S Princeton Ave,Charles Jenkins,"4543 south princeton avenue, chicago","point_of_interest, establishment",0.72
4550 W Sunnyside Ave,Mayfair Playground,"4550 west sunnyside avenue, chicago","point_of_interest, establishment",0.73
459 W 79th St,CYC & Associates Inc,"459 west 79th street, chicago","point_of_interest, establishment",0.67
4600 N Lake Shore Dr,,,,
4600 N Lawndale Ave,Baseball Junior/Softball,"4650 north lawndale avenue, chicago","point_of_interest, establishment",0.69
4600 S Hermitage Ave,William H. Seward Communication Arts Academy Elementary School,"4600 south hermitage avenue, chicago","secondary_school, primary_school, point_of_interest, school, establishment",0.72
4600 S Wood St,Gerardsaveslives,"4600 south wood street, chicago","health, point_of_interest, establishment",0.67
4600 W Palmer St,Bikes N' Roses,"4600 west palmer street #100, chicago","bicycle_store, store, point_of_interest, establishment",0.65
4604 N Manor Ave,Ravenswood Manor Park,"4626 north manor avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.64
4608 S Greenwood Ave,Kenwood UCC Soup Kitchen - Food Distribution Center,"4608 south greenwood avenue, chicago","food, point_of_interest, establishment",0.72
461 E 111th St,Weathersby Wonder World,"461 east 111th street, chicago","point_of_interest, establishment",0.68
4615 W Jackson Blvd,Football/Soccer Combo Field,"4615 jackson boulevard, chicago","point_of_interest, establishment",0.7
4619 S Wolcott Ave,Agustin Lara Academy,"4619 south wolcott avenue, chicago","primary_school, point_of_interest, school, establishment",0.71
4624 W Madison St,West Side Learning Center,"4624 west madison street, chicago","university, point_of_interest, establishment",0.7
4626 N Manor Ave,Ravenswood Manor Park,"4626 north manor avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.69
4628 W Washington Blvd,El Palais Bu-Sché,"4628 west washington boulevard, chicago","point_of_interest, establishment",0.73
4630 N Milwaukee Ave,,,,
4637 W 83rd St,,,,
4638 N Melvina Ave,Fitness Center,"4638 north melvina avenue, chicago","gym, health, point_of_interest, establishment",0.71
4640 S Lamon Ave,Hearst Elementary School,"4640 south lamon avenue, chicago","primary_school, school, point_of_interest, establishment",0.69
4650 N Lawndale Ave,Jensen (Daniel) Park,"4650 north lawndale avenue, chicago","park, point_of_interest, establishment",0.72
4650 N Pulaski Rd,Chicago Police Department,"4650 north pulaski road, chicago","police, point_of_interest, establishment",0.71
4655 S Dearborn St,Colman Zenos School,"4655 south dearborn street, chicago","primary_school, school, point_of_interest, establishment",0.7
4659 S Cottage Grove Ave,Newco Inc,"4659 south cottage grove avenue, chicago","point_of_interest, establishment",0.75
4674 N Virginia Ave,Jacob Playlot Park,"4674 north virginia avenue, chicago","park, point_of_interest, establishment",0.72
47 E 47th St,,,,
47 W 47th St,DC Engineering products PVT.LTD,"west 47th street, new york","point_of_interest, establishment",0.63
4701 N Ashland Ave,Beer and Burpees,"4701 north ashland avenue, chicago","point_of_interest, establishment",0.71
4701 N Pulaski Rd,Spin Cycle,"4701 north pulaski road, chicago","laundry, point_of_interest, establishment",0.71
4701 N Winthrop Ave,Christopher House,"4701 north winthrop avenue, chicago","school, point_of_interest, establishment",0.72
4701 S King Dr,,,,
4707 W Marquette Rd,Mariano Azuela Elementary School,"4707 west marquette road, chicago","primary_school, point_of_interest, school, establishment",0.74
4723 W Grand Ave,CARSTAR Grand Avenue,"4723 west grand avenue, chicago","car_repair, point_of_interest, establishment",0.7
4730 N Sheridan Rd,CircEsteem,"4730 north sheridan road, chicago","point_of_interest, establishment",0.72
4747 N Sawyer Ave,Office of 33rd Ward Alderman Rossana Rodriguez-Sanchez,"4747 north sawyer avenue, chicago","local_government_office, point_of_interest, establishment",0.7
4747 S Bishop St,Hamline Elementary School,"4747 south bishop street, chicago","primary_school, point_of_interest, school, establishment",0.68
4747 S Marshfield Ave,Cesar Chavez Multicultural Academic Center,"4747 south marshfield avenue, chicago","primary_school, point_of_interest, school, establishment",0.73
4747 S Winchester Ave,James Hedges Fine & Performing Arts School,"4747 south winchester avenue, chicago","primary_school, school, point_of_interest, establishment",0.73
4749 N Kedzie Ave,AL-IHSAN Foundation of America,"4759 north kedzie avenue, chicago","point_of_interest, establishment",0.68
4755 N Sheridan Rd,SAVE A DREAM FOUNDATION,"4757 north sheridan road, chicago","point_of_interest, establishment",0.69
4763 N Western Ave,,,,
4800 S Campbell Ave,Starbucks,"4801 south campbell avenue, tucson","cafe, restaurant, food, point_of_interest, store, establishment",0.68
4800 S Western Ave,Word of God Baptist Church,"4816 south western avenue, los angeles","church, place_of_worship, point_of_interest, establishment",0.69
4801 S Michigan Ave,"Hall Branch, Chicago Public Library","4801 south michigan avenue, chicago","library, point_of_interest, establishment",0.72
4805 W Madison St,Metro by T-Mobile,"4801 west madison street, chicago","store, point_of_interest, establishment",0.68
4815 S Karlov Ave,Edwards Elementary School,"4815 south karlov avenue, chicago","primary_school, point_of_interest, school, establishment",0.7
4820 W Walton St,Ronald E McNair Elementary School,"4820 west walton street, chicago","primary_school, school, point_of_interest, establishment",0.69
4821 S Hermitage Ave,St Joseph Catholic Church,"4821 south hermitage avenue, chicago","church, place_of_worship, point_of_interest, establishment",0.72
4821 W Chicago Ave,Hope Excel Reaching the World Academy,"4821 west chicago avenue, chicago","primary_school, school, point_of_interest, establishment",0.72
4822 N Long Ave,Jefferson (Thomas) Memorial Park,"4822 north long avenue, chicago","park, tourist_attraction, point_of_interest, establishment",0.69
